DR_NO,Date Rptd,DATE OCC,TIME OCC,AREANAME,Rpt Dist No,crime type,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Desc,Status,Status Desc,LOCATION,Cross Street,Latitude,Longitude
201014765,11/5/2020 0:00,11/5/2020 0:00,1420,West Valley,1045,battery - simple assault,28,M,W,multi-unit dwelling ,strong-arm ,IC,Invest Cont,5600 etiwanda av,,34.1723,-118.5308
200315201,8/3/2020 0:00,8/1/2020 0:00,730,Southwest,308,burglary,28,M,W,street,,IC,Invest Cont,800 w 23rd st,,34.0347,-118.2809
200814434,9/23/2020 0:00,9/23/2020 0:00,1015,West LA,813,battery - simple assault,65,F,W,single family dwelling,strong-arm ,AO,Adult Other,600 n saltair av,,34.0712,-118.4758
201100721,8/28/2020 0:00,8/27/2020 0:00,1730,Northeast,1189,burglary,50,M,W,single family dwelling,,AO,Adult Other,400 loreto st,,34.0867,-118.2172
200705647,1/30/2020 0:00,1/30/2020 0:00,530,Wilshire,722,burglary,72,M,W,other business,,IC,Invest Cont,400 s san vicente bl,,34.0715,-118.3764
200714529,10/4/2020 0:00,10/4/2020 0:00,300,Wilshire,765,"assault with deadly weapon, aggravated assault",25,M,H,sidewalk,hand gun,IC,Invest Cont,1500 s sycamore av,,34.0465,-118.3486
201004305,1/9/2020 0:00,1/8/2020 0:00,2100,West Valley,1037,theft from motor vehicle - petty ,0,,,street,,IC,Invest Cont,17400 haynes st,,34.1894,-118.512
200115809,8/4/2020 0:00,8/4/2020 0:00,505,Central,162,battery with sexual contact,66,F,W,mta - blue line - 7th and metro center,strong-arm ,AA,Adult Arrest,600 w 7th st,,34.0473,-118.2566
200713042,8/22/2020 0:00,8/20/2020 0:00,2000,Wilshire,719,vandalism - felony ,44,M,W,single family dwelling,,IC,Invest Cont,300 n lucerne bl,,34.0762,-118.3248
201006493,2/26/2020 0:00,2/9/2020 0:00,1622,West Valley,1063,shoplifting - petty theft ,35,M,H,department store,,IC,Invest Cont,5500 reseda bl,,34.1703,-118.536
200315248,8/4/2020 0:00,8/3/2020 0:00,1200,Southwest,397,theft plain - petty ,32,M,O,single family dwelling,,IC,Invest Cont,4100 s normandie av,,34.0086,-118.3002
200315444,8/8/2020 0:00,8/8/2020 0:00,1420,Southwest,392,criminal threats - no weapon displayed,61,M,B,restaurant/fast food,verbal threat,IC,Invest Cont,3400 westmount av,,33.9983,-118.3315
200913331,8/10/2020 0:00,8/9/2020 0:00,1830,Van Nuys,914,vandalism - misdeameanor ,55,F,H,multi-unit dwelling ,,AO,Adult Other,6900 kester av,,34.196,-118.4575
200812708,8/6/2020 0:00,8/6/2020 0:00,1120,West LA,815,vandalism - misdeameanor ,34,M,W,sidewalk,,IC,Invest Cont,600 s sepulveda bl,,34.0623,-118.4569
200616713,10/15/2020 0:00,10/13/2020 0:00,1000,Hollywood,627,theft plain - petty ,67,F,W,other/outside,,IC,Invest Cont,2800 hollyridge dr,,34.1194,-118.3189
200413928,10/17/2020 0:00,10/17/2020 0:00,1710,Hollenbeck,466,shoplifting - petty theft ,0,M,W,other business,,IC,Invest Cont,2600 e cesar e chavez av,,34.0457,-118.2052
201015216,11/19/2020 0:00,11/19/2020 0:00,1630,West Valley,1008,burglary,60,F,W,single family dwelling,,AO,Adult Other,6400 hayvenhurst av,,34.1866,-118.4924
201107359,3/14/2020 0:00,3/14/2020 0:00,1930,Northeast,1136,other assault,21,F,H,street,unknown weapon/other weapon,AO,Adult Other,900 terrace 49,,34.1144,-118.2114
200512906,8/12/2020 0:00,8/12/2020 0:00,1800,Harbor,529,"assault with deadly weapon, aggravated assault",53,M,H,auto repair shop,screwdriver,AA,Adult Arrest,900 cristobal av,,33.7822,-118.2429
201111745,7/23/2020 0:00,7/22/2020 0:00,1300,Northeast,1172,theft of identity,31,F,W,single family dwelling,,IC,Invest Cont,1700 glendale bl,,34.0882,-118.2646
200619553,12/22/2020 0:00,12/10/2020 0:00,800,Hollywood,632,burglary,50,M,W,single family dwelling,unknown weapon/other weapon,IC,Invest Cont,8700 wonderland av,,34.1091,-118.3878
200315215,8/4/2020 0:00,8/1/2020 0:00,1500,Southwest,395,vehicle - stolen,0,,,parking lot,,IC,Invest Cont,4100 s western av,,34.0091,-118.3089
201010479,6/28/2020 0:00,6/26/2020 0:00,1700,West Valley,1023,vandalism - misdeameanor ,59,F,O,garage/carport,,IC,Invest Cont,19000 kittridge st,,34.1902,-118.5474
200611464,6/16/2020 0:00,5/30/2020 0:00,2305,Hollywood,632,burglary,0,X,X,other business,,IC,Invest Cont,7900 w sunset bl,,34.0981,-118.3615
200904385,1/9/2020 0:00,1/3/2020 0:00,1230,Van Nuys,964,theft of identity,32,M,W,multi-unit dwelling ,,IC,Invest Cont,14400 magnolia bl,,34.1649,-118.4465
200115908,8/5/2020 0:00,8/5/2020 0:00,1100,Central,182,criminal threats - no weapon displayed,40,F,B,hotel,verbal threat,IC,Invest Cont,1000 s figueroa st,,34.0449,-118.264
200704633,1/13/2020 0:00,1/12/2020 0:00,1600,Wilshire,779,burglary from vehicle,69,M,H,sidewalk,,IC,Invest Cont,4th,WASHINGTON,34.0399,-118.3213
200619698,12/26/2020 0:00,12/26/2020 0:00,1845,Hollywood,627,battery - simple assault,65,M,W,single family dwelling,strong-arm ,AO,Adult Other,2600 n beachwood dr,,34.1178,-118.3215
200504824,1/19/2020 0:00,1/2/2020 0:00,2200,Harbor,557,theft plain - petty ,50,M,W,other business,,IC,Invest Cont,5th st,GAFFEY                       ST,33.7397,-118.2923
200614411,8/24/2020 0:00,8/22/2020 0:00,1900,Hollywood,639,burglary,32,M,O,parking lot,,AO,Adult Other,1800 n kingsley dr,,34.1038,-118.3035
200614629,8/28/2020 0:00,8/26/2020 0:00,1746,Hollywood,637,"theft-grand excpt,guns,fowl,livestk,prod",33,M,H,single family dwelling,,IC,Invest Cont,6200 w hollywood bl,,34.103,-118.3225
200115642,7/31/2020 0:00,7/30/2020 0:00,2100,Central,171,burglary from vehicle,34,M,B,street,,IC,Invest Cont,900 francisco st,,34.0465,-118.265
200115833,8/4/2020 0:00,8/3/2020 0:00,1010,Central,165,burglary from vehicle,23,F,W,parking lot,,IC,Invest Cont,7th,MAPLE,34.0425,-118.2493
