DR_NO,Date Rptd,DATE OCC,TIME OCC,AREANAME,Rpt Dist No,crime type,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Desc,Status,Status Desc,LOCATION,Cross Street,Latitude,Longitude
10304468,1/8/2020 0:00,1/8/2020 0:00,2230,Southwest,377,battery - simple assault,36,F,B,single family dwelling,strong-arm ,AO,Adult Other,1100 w 39th pl,,34.0141,-118.2978
190101086,1/2/2020 0:00,1/1/2020 0:00,330,Central,163,battery - simple assault,25,M,H,sidewalk,unknown weapon/other weapon,IC,Invest Cont,700 s hill st,,34.0459,-118.2545
200110444,4/14/2020 0:00,2/13/2020 0:00,1200,Central,155,sex offender registrant out of compliance,0,X,X,police facility,,AA,Adult Arrest,200 e 6th st,,34.0448,-118.2474
191501505,1/1/2020 0:00,1/1/2020 0:00,1730,N Hollywood,1543,vandalism - misdeameanor ,76,F,W,multi-unit dwelling ,,IC,Invest Cont,5400 corteen pl,,34.1685,-118.4019
191921269,1/1/2020 0:00,1/1/2020 0:00,415,Mission,1998,vandalism - felony ,31,X,X,beauty supply store,,IC,Invest Cont,14400 titus st,,34.2198,-118.4468
200100501,1/2/2020 0:00,1/1/2020 0:00,30,Central,163,"rape, forcible",25,F,H,night club ,unknown weapon/other weapon,IC,Invest Cont,700 s broadway,,34.0452,-118.2534
200100502,1/2/2020 0:00,1/2/2020 0:00,1315,Central,161,shoplifting - petty theft ,23,M,H,department store,,IC,Invest Cont,700 s figueroa st,,34.0483,-118.2631
200100504,1/4/2020 0:00,1/4/2020 0:00,40,Central,155,other miscellaneous crime,0,X,X,police facility,,IC,Invest Cont,200 e 6th st,,34.0448,-118.2474
200100507,1/4/2020 0:00,1/4/2020 0:00,200,Central,101,"theft-grand excpt,guns,fowl,livestk,prod",23,M,B,multi-unit dwelling ,,IC,Invest Cont,700 bernard st,,34.0677,-118.2398
201710201,6/19/2020 0:00,5/26/2020 0:00,1925,Devonshire,1708,"theft-grand excpt,guns,fowl,livestk,prod",0,X,X,other business,,AO,Adult Other,11900 balboa bl,,34.2864,-118.5021
200100509,1/4/2020 0:00,1/4/2020 0:00,2200,Central,192,burglary from vehicle,29,M,A,street,rock/thrown object,IC,Invest Cont,15th,OLIVE,34.0359,-118.2648
200100510,1/5/2020 0:00,1/5/2020 0:00,955,Central,111,criminal threats - no weapon displayed,35,M,O,parking lot,verbal threat,IC,Invest Cont,800 n alameda st,,34.0615,-118.2412
200100514,1/5/2020 0:00,1/5/2020 0:00,1355,Central,162,"theft-grand excpt,guns,fowl,livestk,prod",41,M,A,hotel,,AA,Adult Arrest,800 s olive st,,34.0452,-118.2569
200100515,1/7/2020 0:00,1/7/2020 0:00,1638,Central,162,arson,0,X,X,department store,unknown weapon/other weapon,IC,Invest Cont,700 w 7th st,,34.048,-118.2577
200100520,1/8/2020 0:00,1/8/2020 0:00,1805,Central,128,shoplifting - petty theft ,24,F,H,coffee shop ,,IC,Invest Cont,100 s los angeles st,,34.0515,-118.2424
211916029,11/26/2021 0:00,11/30/2020 0:00,730,Mission,1916,intimate partner - simple assault,24,F,H,single family dwelling,strong-arm ,IC,Invest Cont,14200 berg st,,34.3055,-118.4439
201116159,11/29/2020 0:00,11/28/2020 0:00,2018,Northeast,1124,intimate partner - simple assault,34,F,H,single family dwelling,strong-arm ,AO,Adult Other,3200 w avenue 32,,34.1186,-118.245
200506268,2/22/2020 0:00,2/22/2020 0:00,1900,Harbor,511,theft plain - petty ,29,F,W,sidewalk,strong-arm ,IC,Invest Cont,pacific coast,VERMONT,33.7926,-118.3043
210916801,11/22/2021 0:00,11/19/2020 0:00,1200,Van Nuys,932,theft of identity,46,M,B,multi-unit dwelling ,,IC,Invest Cont,14700 friar st,,34.1857,-118.4574
200100535,1/14/2020 0:00,1/14/2020 0:00,1330,Central,152,robbery,66,M,B,alley,folding knife,IC,Invest Cont,7th,HILL,34.0463,-118.255
200914517,9/10/2020 0:00,9/9/2020 0:00,1735,Van Nuys,909,theft of identity,40,M,O,condominium/townhouse,,IC,Invest Cont,13600 leadwell st,,34.2039,-118.4312
200100538,1/14/2020 0:00,1/14/2020 0:00,1730,Central,162,"theft-grand excpt,guns,fowl,livestk,prod",31,M,H,department store,,IC,Invest Cont,700 w 7th st,,34.048,-118.2577
200100543,1/15/2020 0:00,1/15/2020 0:00,1445,Central,162,shoplifting - petty theft ,27,M,B,department store,,IC,Invest Cont,700 w 7th st,,34.048,-118.2577
211014725,11/18/2021 0:00,12/28/2020 0:00,1,West Valley,1045,theft of identity,46,F,W,single family dwelling,,IC,Invest Cont,5700 enfield av,,34.1748,-118.5228
200100546,1/15/2020 0:00,1/15/2020 0:00,700,Central,166,"assault with deadly weapon, aggravated assault",62,M,A,multi-unit dwelling ,unknown weapon/other weapon,AO,Adult Other,600 san julian st,,34.0428,-118.2461
211015072,11/29/2021 0:00,11/1/2020 0:00,1200,West Valley,1043,theft of identity,34,F,B,multi-unit dwelling ,,IC,Invest Cont,18600 collins st,,34.1745,-118.5383
201106067,2/15/2020 0:00,2/15/2020 0:00,1830,Northeast,1101,burglary from vehicle,43,M,A,parking lot,,IC,Invest Cont,2700 n vermont av,,34.1179,-118.293
200100552,1/19/2020 0:00,1/19/2020 0:00,2000,Central,111,"assault with deadly weapon, aggravated assault",71,M,W,public restroom/outside*,unknown weapon/other weapon,AA,Adult Arrest,alameda,LOS ANGELES,34.0578,-118.2371
200815333,10/15/2020 0:00,10/15/2020 0:00,2000,West LA,814,battery - simple assault,50,F,W,single family dwelling,strong-arm ,AO,Adult Other,100 s acari dr,,34.0701,-118.4679
200100556,1/20/2020 0:00,1/20/2020 0:00,400,Central,141,"rape, forcible",19,F,B,hotel,strong-arm ,IC,Invest Cont,300 s figueroa st,,34.0542,-118.2566
200100559,1/23/2020 0:00,1/23/2020 0:00,600,Central,111,burglary,51,M,W,hotel,,AO,Adult Other,700 n main st,,34.0583,-118.2378
210816993,11/24/2021 0:00,4/28/2020 0:00,100,West LA,859,theft of identity,27,M,W,single family dwelling,,IC,Invest Cont,8500 cashio st,,34.0507,-118.3762
201111990,7/29/2020 0:00,7/29/2020 0:00,2020,Northeast,1124,intimate partner - simple assault,33,F,H,multi-unit dwelling ,strong-arm ,AO,Adult Other,3200 w avenue 32,,34.1186,-118.245
200117988,9/15/2020 0:00,9/3/2020 0:00,2000,Central,111,vehicle - stolen,0,,,garage/carport,,IC,Invest Cont,500 n figueroa st,,34.0615,-118.247
200100568,1/27/2020 0:00,1/27/2020 0:00,1500,Central,166,criminal threats - no weapon displayed,69,M,B,mta bus,unknown weapon/other weapon,IC,Invest Cont,6th,SAN JULIAN,34.0428,-118.2461
211015073,11/29/2021 0:00,11/1/2020 0:00,1200,West Valley,1043,theft of identity,39,M,B,multi-unit dwelling ,,IC,Invest Cont,18600 collins st,,34.1745,-118.5383
200716724,12/4/2020 0:00,12/3/2020 0:00,811,Wilshire,722,shoplifting - petty theft ,19,M,O,other business,,IC,Invest Cont,8400 beverly bl,,34.0761,-118.3737
200914052,8/27/2020 0:00,8/27/2020 0:00,1255,Van Nuys,935,battery - simple assault,57,F,H,sidewalk,strong-arm ,IC,Invest Cont,14100 sylvan st,,34.1847,-118.44
200100572,1/28/2020 0:00,1/28/2020 0:00,2100,Central,181,vandalism - felony ,0,X,X,street,,IC,Invest Cont,11th st,FIGUEROA                     ST,34.0431,-118.2692
200810920,6/20/2020 0:00,6/20/2020 0:00,1000,West LA,841,battery - simple assault,78,F,W,nursing/convalescent/retirement home,strong-arm ,AO,Adult Other,12100 santa monica bl,,34.0423,-118.4656
200100574,1/30/2020 0:00,1/29/2020 0:00,1930,Central,162,shoplifting - petty theft ,0,M,W,department store,,IC,Invest Cont,700 w 7th st,,34.048,-118.2577
200100576,1/30/2020 0:00,1/30/2020 0:00,55,Central,195,burglary from vehicle,24,M,H,street,,AA,Adult Arrest,18th st,LOS ANGELES                  ST,34.0317,-118.2626
200100578,1/31/2020 0:00,1/30/2020 0:00,2040,Central,163,"assault with deadly weapon, aggravated assault",52,M,H,mini-mart,blunt instrument,AA,Adult Arrest,7th st,BROADWAY,34.0456,-118.254
200100583,2/4/2020 0:00,2/4/2020 0:00,920,Central,146,"assault with deadly weapon, aggravated assault",38,F,H,other business,bottle,AA,Adult Arrest,200 winston st,,34.0467,-118.247
200100584,2/4/2020 0:00,2/4/2020 0:00,1645,Central,162,shoplifting - petty theft ,55,M,W,department store,,IC,Invest Cont,700 s flower st,,34.0487,-118.2588
221412410,6/15/2022 0:00,11/12/2020 0:00,1700,Pacific,1444,theft from motor vehicle - petty ,0,,,street,,IC,Invest Cont,13600 marina point dr,,33.9876,-118.4489
200100587,2/6/2020 0:00,2/6/2020 0:00,1135,Central,163,vandalism - felony ,66,F,A,"vehicle, passenger/truck",,IC,Invest Cont,8th,SPRING,34.0431,-118.2536
200218458,12/11/2020 0:00,12/11/2020 0:00,420,Rampart,233,brandish weapon,34,M,W,parking lot,semi-automatic pistol,AO,Adult Other,2500 beverly bl,,34.0708,-118.2798
201225288,11/26/2020 0:00,11/26/2020 0:00,115,77th Street,1257,intimate partner - aggravated assault,50,F,B,multi-unit dwelling ,club/bat,AA,Adult Arrest,500 w 77th st,,33.9698,-118.2833
200100596,2/8/2020 0:00,2/8/2020 0:00,1600,Central,162,shoplifting - petty theft ,35,M,B,other store,,IC,Invest Cont,700 w 7th st,,34.048,-118.2577
200407318,3/27/2020 0:00,3/27/2020 0:00,315,Hollenbeck,422,vandalism - felony ,40,M,O,other business,,IC,Invest Cont,2600 n broadway,,34.0736,-118.2156
200407198,3/22/2020 0:00,3/22/2020 0:00,430,Hollenbeck,466,intimate partner - simple assault,27,F,H,single family dwelling,strong-arm ,AO,Adult Other,300 n evergreen av,,34.0436,-118.2051
201112187,8/4/2020 0:00,7/16/2020 0:00,1900,Northeast,1144,"bunco, grand theft",51,F,W,single family dwelling,,IC,Invest Cont,2100 hyperion av,,34.099,-118.2738
210109294,4/23/2021 0:00,12/1/2020 0:00,1200,Central,155,sex offender registrant out of compliance,0,M,O,police facility,,AA,Adult Arrest,200 e 6th st,,34.0448,-118.2474
200104020,1/1/2020 0:00,1/1/2020 0:00,245,Central,153,"theft, person",44,M,B,sidewalk,strong-arm ,IC,Invest Cont,6th st,SPRING                       ST,34.0463,-118.2515
200104024,1/1/2020 0:00,1/1/2020 0:00,325,Central,134,vandalism - felony ,41,M,A,"vehicle, passenger/truck",,IC,Invest Cont,4th st,HILL                         ST,34.0503,-118.2504
200104027,1/1/2020 0:00,1/1/2020 0:00,30,Central,182,criminal threats - no weapon displayed,57,M,O,parking lot,strong-arm ,IC,Invest Cont,700 w 9th st,,34.0458,-118.2614
200104033,1/1/2020 0:00,1/1/2020 0:00,230,Central,143,intimate partner - simple assault,25,M,W,street,strong-arm ,IC,Invest Cont,400 s hill st,,34.0503,-118.2504
200811087,6/24/2020 0:00,6/23/2020 0:00,2200,West LA,898,battery - simple assault,24,M,W,group home,strong-arm ,AO,Adult Other,8900 hargis st,,34.0352,-118.387
200104035,1/1/2020 0:00,1/1/2020 0:00,230,Central,111,burglary,34,F,B,multi-unit dwelling ,,IC,Invest Cont,700 yale st,,34.0612,-118.2417
200104036,1/1/2020 0:00,1/1/2020 0:00,500,Central,119,battery with sexual contact,18,F,B,mta - red line - union station,strong-arm ,IC,Invest Cont,800 n alameda st,,34.0563,-118.2374
200104038,1/1/2020 0:00,1/1/2020 0:00,1200,Central,157,"assault with deadly weapon, aggravated assault",57,M,B,sidewalk,unknown weapon/other weapon,IC,Invest Cont,7th,SAN PEDRO,34.0401,-118.2459
200104039,1/1/2020 0:00,1/1/2020 0:00,344,Central,162,vandalism - misdeameanor ,55,M,H,other business,,IC,Invest Cont,800 w 7th st,,34.0487,-118.2588
200104041,1/1/2020 0:00,1/1/2020 0:00,1030,Central,192,bike - stolen,23,M,A,restaurant/fast food,,IC,Invest Cont,hill,WASHINGTON,34.032,-118.2657
200104043,1/1/2020 0:00,1/1/2020 0:00,1200,Central,112,vandalism - misdeameanor ,55,M,H,"vehicle, passenger/truck",,IC,Invest Cont,aliso,SPRING,34.0561,-118.2415
200321450,12/9/2020 0:00,12/9/2020 0:00,300,Southwest,333,intimate partner - aggravated assault,54,F,W,single family dwelling,strong-arm ,AO,Adult Other,3000 wellington rd,,34.0261,-118.3384
200104047,1/1/2020 0:00,1/1/2020 0:00,905,Central,153,battery police ,0,X,X,mta - red line - pershing square,strong-arm ,IC,Invest Cont,500 s hill st,,34.0488,-118.2518
200104048,1/1/2020 0:00,1/1/2020 0:00,905,Central,153,battery police ,0,X,X,mta - red line - pershing square,strong-arm ,IC,Invest Cont,500 s hill st,,34.0488,-118.2518
200104051,1/1/2020 0:00,1/1/2020 0:00,200,Central,161,theft plain - petty ,22,F,A,night club ,,IC,Invest Cont,800 francisco st,,34.0487,-118.2627
200104054,1/2/2020 0:00,1/1/2020 0:00,2330,Central,135,battery - simple assault,28,M,B,multi-unit dwelling ,strong-arm ,IC,Invest Cont,wall,5TH                          ST,34.0495,-118.2458
200812213,7/23/2020 0:00,6/22/2020 0:00,2005,West LA,898,"letters, lewd  -  telephone calls, lewd",42,F,W,single family dwelling,,AO,Adult Other,2800 s bedford st,,34.0346,-118.3857
200104057,1/2/2020 0:00,1/1/2020 0:00,2045,Central,176,"assault with deadly weapon, aggravated assault",43,M,B,street,other cutting instrument,IC,Invest Cont,7th,LOS ANGELES,34.0424,-118.2493
200104058,1/2/2020 0:00,1/1/2020 0:00,1940,Central,135,battery - simple assault,46,M,H,sidewalk,strong-arm ,IC,Invest Cont,los angeles st,2ND                          ST,34.0485,-118.2447
200104060,1/2/2020 0:00,1/1/2020 0:00,1800,Central,153,battery - simple assault,56,F,O,street,strong-arm ,IC,Invest Cont,600 s spring st,,34.0467,-118.252
200104063,1/1/2020 0:00,1/1/2020 0:00,2030,Central,162,"theft-grand excpt,guns,fowl,livestk,prod",55,F,O,parking lot,,IC,Invest Cont,600 w 9th st,,34.0462,-118.2585
200104065,1/1/2020 0:00,1/1/2020 0:00,1830,Central,118,vandalism - misdeameanor ,55,M,H,multi-unit dwelling ,,IC,Invest Cont,300 e ann st,,34.0639,-118.2306
200104066,1/1/2020 0:00,1/1/2020 0:00,2315,Central,182,vandalism - misdeameanor ,0,X,X,"vehicle, passenger/truck",,IC,Invest Cont,9th st,GRAND                        AV,34.0444,-118.2593
200104069,1/2/2020 0:00,1/2/2020 0:00,545,Central,111,burglary,0,X,X,restaurant/fast food,unknown weapon/other weapon,IC,Invest Cont,800 n broadway,,34.0623,-118.2383
200104073,1/2/2020 0:00,1/2/2020 0:00,345,Central,143,vehicle - stolen,0,,,parking lot,,IC,Invest Cont,400 s spring st,,34.0488,-118.25
200104075,1/2/2020 0:00,1/1/2020 0:00,2000,Central,166,theft plain - petty ,67,M,B,multi-unit dwelling ,,IC,Invest Cont,400 e 7th st,,34.0421,-118.2469
200104076,1/1/2020 0:00,1/1/2020 0:00,300,Central,153,"theft-grand excpt,guns,fowl,livestk,prod",57,M,B,multi-unit dwelling ,,IC,Invest Cont,300 w 5th st,,34.0481,-118.2507
200104077,1/2/2020 0:00,1/1/2020 0:00,2030,Central,195,burglary from vehicle,37,F,H,street,,IC,Invest Cont,1800 s main st,,34.0317,-118.2641
200104078,1/2/2020 0:00,1/2/2020 0:00,820,Central,162,robbery,0,X,X,drug store,other cutting instrument,IC,Invest Cont,600 w 7th st,,34.0473,-118.2566
200104082,1/2/2020 0:00,1/2/2020 0:00,1225,Central,153,battery - simple assault,60,M,O,street,strong-arm ,IC,Invest Cont,7th,SPRING,34.0449,-118.2528
200104090,1/2/2020 0:00,1/2/2020 0:00,1305,Central,162,shoplifting - petty theft ,0,M,H,department store,,IC,Invest Cont,700 w 7th st,,34.048,-118.2577
200104092,1/2/2020 0:00,1/1/2020 0:00,1200,Central,111,burglary,51,M,O,garage/carport,,IC,Invest Cont,700 alpine st,,34.0635,-118.2426
200918185,12/7/2020 0:00,12/7/2020 0:00,1203,Van Nuys,935,violation of court order,52,F,W,government facility ,,AA,Adult Arrest,6200 sylmar av,,34.1837,-118.4465
200104098,1/2/2020 0:00,1/2/2020 0:00,1240,Central,154,robbery,61,M,W,multi-unit dwelling ,hand gun,AO,Adult Other,100 e 5th st,,34.0467,-118.2485
200104101,1/2/2020 0:00,1/2/2020 0:00,800,Central,131,intimate partner - simple assault,38,M,B,multi-unit dwelling ,strong-arm ,IC,Invest Cont,100 s figueroa st,,34.0569,-118.254
200104118,1/2/2020 0:00,1/2/2020 0:00,1600,Central,159,battery - simple assault,36,F,B,other business,strong-arm ,IC,Invest Cont,800 e 4th pl,,34.0445,-118.2367
200104120,1/2/2020 0:00,1/2/2020 0:00,1450,Central,158,burglary,59,M,H,single residence occupancy  locations,,IC,Invest Cont,1200 e 7th st,,34.0395,-118.2405
200104126,1/2/2020 0:00,1/2/2020 0:00,1215,Central,162,shoplifting - petty theft ,32,M,H,other store,,IC,Invest Cont,700 s flower st,,34.0487,-118.2588
200104127,1/2/2020 0:00,1/2/2020 0:00,1130,Central,138,trespassing,44,F,B,parking underground/building,,IC,Invest Cont,300 e 3rd st,,34.048,-118.2438
200104129,1/2/2020 0:00,1/2/2020 0:00,320,Central,124,"assault with deadly weapon, aggravated assault",60,F,W,street,physical presence,IC,Invest Cont,1st,MAIN,34.0522,-118.2434
210121427,10/26/2021 0:00,10/18/2020 0:00,528,Central,121,battery with sexual contact,24,F,W,street,strong-arm ,IC,Invest Cont,900 w temple st,,34.0607,-118.2494
200104132,1/2/2020 0:00,1/2/2020 0:00,1915,Central,182,burglary from vehicle,31,M,W,parking lot,,IC,Invest Cont,1200 s grand av,,34.0402,-118.2633
200104135,1/2/2020 0:00,1/2/2020 0:00,2000,Central,142,theft plain - petty ,30,M,W,street,,IC,Invest Cont,300 s grand av,,34.053,-118.2513
200104136,1/2/2020 0:00,1/2/2020 0:00,2000,Central,158,"assault with deadly weapon, aggravated assault",50,M,B,street,vehicle,AA,Adult Arrest,600 s central av,,34.039,-118.24
201815332,8/10/2020 0:00,8/10/2020 0:00,125,Southeast,1822,intimate partner - simple assault,50,F,B,motel,strong-arm ,AO,Adult Other,10300 s broadway,,33.9425,-118.2781
200104138,1/2/2020 0:00,1/2/2020 0:00,1740,Central,111,"assault with deadly weapon, aggravated assault",40,M,H,other business,scissors,IC,Invest Cont,600 n broadway,,34.0586,-118.2402
200104139,1/2/2020 0:00,1/2/2020 0:00,2210,Central,162,trespassing,34,M,O,restaurant/fast food,,IC,Invest Cont,800 w 7th st,,34.0487,-118.2588
200104140,1/2/2020 0:00,1/2/2020 0:00,2145,Central,192,intimate partner - simple assault,34,F,B,hospital,strong-arm ,AA,Adult Arrest,1300 s hope st,,34.0395,-118.2656
200104141,1/2/2020 0:00,1/2/2020 0:00,2120,Central,162,battery - simple assault,45,M,O,other business,strong-arm ,IC,Invest Cont,700 s flower st,,34.0487,-118.2588
200104150,1/3/2020 0:00,1/2/2020 0:00,2200,Central,158,battery - simple assault,62,M,B,sidewalk,stick,IC,Invest Cont,7th st,KOHLER,34.0377,-118.2425
200516527,11/12/2020 0:00,11/12/2020 0:00,430,Harbor,508,vehicle - stolen,0,,,driveway,,IC,Invest Cont,23400 president av,,33.8129,-118.3071
200609101,4/15/2020 0:00,4/12/2020 0:00,1300,Hollywood,648,vehicle - stolen,0,,,parking lot,,AO,Adult Other,5700 hollywood bl,,34.1017,-118.3136
200104187,1/3/2020 0:00,1/1/2020 0:00,1845,Central,162,shoplifting - petty theft ,20,F,H,department store,,IC,Invest Cont,700 w 7th st,,34.048,-118.2577
211422362,12/2/2021 0:00,12/2/2020 0:00,1040,Pacific,1416,theft of identity,31,F,B,single family dwelling,,IC,Invest Cont,13100 lake st,,34.0081,-118.4512
200104192,1/3/2020 0:00,1/3/2020 0:00,930,Central,124,vandalism - misdeameanor ,0,X,X,sidewalk,,IC,Invest Cont,100 w 1st st,,34.0522,-118.2434
211304982,1/23/2021 0:00,7/24/2020 0:00,100,Newton,1381,"rape, forcible",15,F,H,single family dwelling,strong-arm ,AO,Adult Other,300 w 61st st,,33.9842,-118.2789
200104201,1/3/2020 0:00,1/1/2020 0:00,130,Central,132,burglary from vehicle,51,M,H,street,,IC,Invest Cont,3rd,GRAND,34.053,-118.2513
200104204,1/3/2020 0:00,1/2/2020 0:00,1115,Central,154,theft plain - petty ,23,M,B,street,,IC,Invest Cont,6th,MAIN,34.0446,-118.249
200104205,1/3/2020 0:00,1/3/2020 0:00,1315,Central,128,theft plain - petty ,29,M,B,street,,IC,Invest Cont,1st,LOS ANGELES,34.0515,-118.2424
200104208,1/3/2020 0:00,1/3/2020 0:00,1015,Central,192,vandalism - misdeameanor ,58,M,B,multi-unit dwelling ,,AO,Adult Other,1600 s hope st,,34.0363,-118.2677
200104209,1/3/2020 0:00,1/3/2020 0:00,1830,Central,152,battery - simple assault,24,M,H,sidewalk,strong-arm ,IC,Invest Cont,600 w 7th st,,34.0491,-118.2558
200104221,1/3/2020 0:00,1/3/2020 0:00,1200,Central,166,brandish weapon,51,F,B,multi-unit dwelling ,machete,IC,Invest Cont,600 s san pedro st,,34.0421,-118.2469
200104222,1/3/2020 0:00,1/3/2020 0:00,1550,Central,135,vandalism - felony ,41,F,B,multi-unit dwelling ,,AA,Adult Arrest,100 w 2nd st,,34.051,-118.2445
200104223,1/3/2020 0:00,1/3/2020 0:00,1839,Central,154,vandalism - misdeameanor ,32,M,W,"vehicle, passenger/truck",,IC,Invest Cont,100 e 5th st,,34.0467,-118.2485
200104224,1/3/2020 0:00,1/3/2020 0:00,1800,Central,162,shoplifting - petty theft ,23,M,H,other store,,IC,Invest Cont,700 w 7th st,,34.048,-118.2577
200104227,1/4/2020 0:00,1/3/2020 0:00,1800,Central,162,shoplifting - petty theft ,35,M,W,other store,,IC,Invest Cont,700 w 7th st,,34.048,-118.2577
200104228,1/4/2020 0:00,1/3/2020 0:00,1850,Central,159,robbery,28,M,H,street,hand gun,IC,Invest Cont,4th,SEATON,34.0433,-118.2377
200104230,1/4/2020 0:00,1/3/2020 0:00,2100,Central,162,theft from motor vehicle - petty ,0,,,street,,IC,Invest Cont,700 s grand av,,34.0473,-118.2566
200104231,1/3/2020 0:00,1/3/2020 0:00,2220,Central,148,"assault with deadly weapon, aggravated assault",58,M,H,street,folding knife,IC,Invest Cont,5th,CROCKER,34.0435,-118.2427
200104233,1/3/2020 0:00,1/3/2020 0:00,1645,Central,145,"theft-grand excpt,guns,fowl,livestk,prod",57,M,W,multi-unit dwelling ,,IC,Invest Cont,100 e 5th st,,34.0471,-118.2474
200104234,1/4/2020 0:00,1/3/2020 0:00,2100,Central,135,theft plain - petty ,27,F,H,restaurant/fast food,,IC,Invest Cont,100 w 2nd st,,34.051,-118.2445
200104235,1/4/2020 0:00,1/3/2020 0:00,2200,Central,159,burglary from vehicle,30,F,H,street,,IC,Invest Cont,palmetto,E  SANTA FE,34.0403,-118.2308
200104236,1/3/2020 0:00,1/3/2020 0:00,1630,Central,161,burglary from vehicle,30,M,B,street,,IC,Invest Cont,800 james m wood bl,,34.0483,-118.2631
200104237,1/4/2020 0:00,1/4/2020 0:00,500,Central,192,burglary from vehicle,31,M,B,street,,IC,Invest Cont,grand,S  PICO,34.0384,-118.2646
200104238,1/3/2020 0:00,1/3/2020 0:00,1840,Central,182,burglary from vehicle,0,X,X,parking lot,,IC,Invest Cont,grand,W  PICO,34.0389,-118.2643
200409682,6/10/2020 0:00,6/10/2020 0:00,1900,Hollenbeck,412,robbery,24,F,H,single family dwelling,strong-arm ,AA,Adult Arrest,200 n avenue 25,,34.078,-118.2181
200706211,2/17/2020 0:00,2/16/2020 0:00,2350,Wilshire,734,battery - simple assault,29,F,H,multi-unit dwelling ,strong-arm ,AO,Adult Other,6000 w 6th st,,34.0677,-118.3548
210704711,12/24/2020 0:00,12/24/2020 0:00,1310,Wilshire,782,theft from motor vehicle - grand ,47,F,A,street,,IC,Invest Cont,6000 comey av,,34.0339,-118.3747
200104244,1/4/2020 0:00,1/4/2020 0:00,40,Central,156,battery - simple assault,48,F,B,sidewalk,unknown weapon/other weapon,IC,Invest Cont,500 san julian st,,34.0446,-118.245
202113531,9/6/2020 0:00,9/5/2020 0:00,1500,Topanga,2149,vehicle - stolen,0,,,parking lot,,AA,Adult Arrest,19700 vanowen st,,34.1938,-118.5631
200815521,10/20/2020 0:00,9/18/2020 0:00,1400,West LA,852,theft of identity,32,F,O,single family dwelling,,IC,Invest Cont,1600 barry av,,34.042,-118.4531
200317571,9/19/2020 0:00,9/19/2020 0:00,1040,Southwest,353,robbery,23,M,B,street,hand gun,IC,Invest Cont,obama bl,VIRGINIA                     RD,34.0215,-118.3393
200306227,2/7/2020 0:00,2/6/2020 0:00,1800,Southwest,397,vehicle - stolen,0,,,street,,IC,Invest Cont,43rd st,MENLO,34.0073,-118.298
200514277,9/17/2020 0:00,9/17/2020 0:00,2255,Harbor,558,violation of restraining order,46,F,H,multi-unit dwelling ,,AO,Adult Other,200 w amar st,,33.7478,-118.2822
200104268,1/4/2020 0:00,1/4/2020 0:00,1230,Central,111,battery - simple assault,40,F,H,street,strong-arm ,IC,Invest Cont,100 paseo de la plaza,,34.0615,-118.2412
200104269,1/4/2020 0:00,1/4/2020 0:00,500,Central,156,battery - simple assault,57,F,O,sidewalk,unknown weapon/other weapon,IC,Invest Cont,500 s san pedro st,,34.0437,-118.2455
200104270,1/4/2020 0:00,1/4/2020 0:00,1630,Central,195,burglary from vehicle,32,M,H,parking lot,,IC,Invest Cont,1300 s los angeles st,,34.0357,-118.2593
200816200,11/8/2020 0:00,11/7/2020 0:00,1000,West LA,849,disturbing the peace,58,M,W,multi-unit dwelling ,,AO,Adult Other,1200 s holt av,,34.0561,-118.3784
201821270,11/28/2020 0:00,11/28/2020 0:00,315,Southeast,1826,violation of restraining order,25,F,H,single family dwelling,physical presence,AO,Adult Other,9400 maie av,,33.952,-118.2446
200104275,1/4/2020 0:00,1/4/2020 0:00,1238,Central,161,shoplifting - petty theft ,0,X,X,market,,IC,Invest Cont,800 s figueroa st,,34.0483,-118.2631
200104276,1/4/2020 0:00,1/2/2020 0:00,2130,Central,119,theft plain - petty ,18,M,H,la union station ,,IC,Invest Cont,800 n alameda st,,34.0563,-118.2374
200104277,1/5/2020 0:00,1/4/2020 0:00,2130,Central,159,burglary from vehicle,25,M,O,street,,IC,Invest Cont,jesse st,SANTA FE,34.0364,-118.2303
200104279,1/4/2020 0:00,1/4/2020 0:00,1558,Central,162,shoplifting - petty theft ,0,X,X,department store,,IC,Invest Cont,700 w 7th st,,34.048,-118.2577
200104281,1/4/2020 0:00,1/4/2020 0:00,1300,Central,156,theft plain - petty ,37,F,W,missions/shelters,,IC,Invest Cont,500 s san pedro st,,34.0437,-118.2455
200400694,3/26/2020 0:00,3/26/2020 0:00,1435,Hollenbeck,422,"assault with deadly weapon, aggravated assault",23,M,H,sidewalk,hand gun,IC,Invest Cont,2200 thomas st,,34.0707,-118.2103
200104283,1/4/2020 0:00,1/4/2020 0:00,1755,Central,162,shoplifting - petty theft ,0,X,X,department store,,IC,Invest Cont,700 w 7th st,,34.048,-118.2577
200104284,1/4/2020 0:00,1/4/2020 0:00,15,Central,145,trespassing,67,M,O,multi-unit dwelling ,,IC,Invest Cont,100 e 4th st,,34.0482,-118.2472
200104285,1/5/2020 0:00,1/5/2020 0:00,200,Central,164,battery - simple assault,26,M,H,other business,strong-arm ,IC,Invest Cont,600 s spring st,,34.046,-118.2509
200104286,1/4/2020 0:00,1/4/2020 0:00,1700,Central,162,burglary from vehicle,47,M,H,garage/carport,,IC,Invest Cont,700 s flower st,,34.0487,-118.2588
